TOTALS: 252 of 252 Registered voters Ballots Cast Turnout Democratic Party Republican Party Libertarian Party US Taxpayers Party Working Class Party Green Party Natural Law Party
Wyoming City Ward 2 Precinct 14 1,252 886 70.77% 249 270 9 1 0 1 2
Wyoming City Ward 2 Precinct 15 1,022 686 67.12% 223 201 3 0 3 5 0
Wyoming City Ward 2 Precinct 16 1,420 957 67.39% 280 334 6 1 2 1 0
Wyoming City Ward 2 Precinct 17 2,161 1,116 51.64% 550 243 11 4 9 1 3
Wyoming City Ward 2 Precinct 18 1,286 863 67.11% 259 258 4 2 7 2 0
Wyoming City Ward 2 Precinct 19 2,032 1,379 67.86% 498 364 11 1 7 3 4
Wyoming City Ward 2 Precinct 20 2,106 1,343 63.77% 479 389 6 2 8 0 1
Wyoming City Ward 3 Precinct 21 2,469 1,712 69.34% 509 555 8 2 5 3 1
Wyoming City Ward 3 Precinct 22 1,417 955 67.4% 314 287 2 0 5 1 2
Wyoming City Ward 3 Precinct 23 2,515 1,478 58.77% 554 347 15 1 6 5 1
Wyoming City Ward 3 Precinct 24 2,472 1,600 64.72% 438 506 13 2 5 3 1
Wyoming City Ward 3 Precinct 25 1,783 1,451 81.38% 287 510 3 0 2 1 0
Wyoming City Ward 3 Precinct 26 1,349 971 71.98% 254 274 5 0 1 1 0
Wyoming City Ward 3 Precinct 27 1,310 967 73.82% 234 328 4 0 1 1 0
Wyoming City Ward 3 Precinct 28 2,183 1,784 81.72% 379 647 6 1 1 1 1
Wyoming City Ward 3 Precinct 29 1,839 1,538 83.63% 326 514 2 1 0 2 0
Wyoming City Ward 3 Precinct 30 2,198 1,824 82.98% 324 765 3 0 0 0 0

