precinct,registered_voters,ballots_cast,turnout,democratic_party,republican_party,libertarian_party,us_taxpayers_party,working_class_party,green_party,natural_law_party
City of Dearborn Heights Precinct 24,0,0,0,0,0,0,0,0,0,0
City of Dearborn Heights Precinct 25,0,0,0,0,0,0,0,0,0,0
City of Dearborn Heights Precinct 26,0,0,0,0,0,0,0,0,0,0
City of Dearborn Heights Precinct 27,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 1,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 2,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 3,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 4,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 5,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 6,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 7,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 8,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 9,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 10,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 11,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 12,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 13,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 15,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 16,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 17,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 18,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 19,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 20,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 21,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 22,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 23,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 24,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 25,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 26,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 27,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 28,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 29,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 30,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 31,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 32,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 33,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 34,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 35,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 36,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 37,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 38,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 40,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 41,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 42,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 43,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 44,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 45,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 46,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 47,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 48,0,0,0,0,0,0,0,0,0,0
